N,P,K,temperature,humidity,ph,rainfall,soil_moisture,latitude,longitude,season,rainfall_past_2yr_avg,rainfall_estimated_this_year,soil_type
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,72.59,23.7142,86.2849,monsoon,1043.3,1242.03,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,63.84,23.7546,71.5101,monsoon,750.78,1036.8,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,100,10.6208,77.4333,monsoon,3391.11,4532.72,rice
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,75.85,17.013,78.5335,monsoon,1026.14,1484.89,rice
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,73.82,21.2061,83.5977,monsoon,1035.09,1314.38,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,54.26,31.3196,79.1042,monsoon,557.72,669.98,rice
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,100,11.611,74.2662,monsoon,2144.12,2519.01,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,100,14.7271,84.2733,monsoon,3106.2,4616.36,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,100,10.1944,76.5699,monsoon,3184.26,4742.27,rice
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,54,30.3239,73.4793,monsoon,520.02,704.31,rice
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,41.69,28.9859,79.4721,monsoon,208.32,283.39,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,56.27,21.154,71.1009,monsoon,591.4,752.15,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,45.63,28.5048,81.4213,monsoon,307.66,405.9,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,73.09,17.4846,78.8592,monsoon,944.62,1398.6,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,100,8.4324,77.0553,monsoon,2810.93,3965.91,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,100,10.4981,81.6134,monsoon,3845.01,5170.05,rice
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,100,10.6371,76.1884,monsoon,4118.2,5476.21,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,90.78,18.9402,84.7596,monsoon,1516.51,1804.92,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,53.61,30.7034,70.9973,monsoon,528.55,655.69,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,43.07,31.0812,72.7272,monsoon,250.89,313.37,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,100,12.3148,70.865,monsoon,3085.85,3646.15,rice
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,100,13.6446,69.747,monsoon,3315.31,4019.38,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,47.36,25.9888,87.4742,monsoon,342.81,484.27,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,100,14.246,84.7644,monsoon,3115.3,4500.63,rice
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,42.75,29.669,79.9362,monsoon,246.39,291.92,rice
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,52.29,29.2959,83.9917,monsoon,469.41,629.26,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,100,10.866,82.1492,monsoon,3018.45,3765.5,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,67.99,19.0347,84.1805,monsoon,870.49,1168.98,rice
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,63.21,21.414,87.097,monsoon,747.87,996.7,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,54.18,30.8506,77.2887,monsoon,535.03,696.06,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,93,18.6242,70.1059,monsoon,1459.1,2039.9,rice
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,46.13,29.0341,84.851,monsoon,308.95,450.46,rice
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,56.97,23.3213,82.8818,monsoon,626.06,737.35,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,62.53,18.2118,68.7594,monsoon,773.21,905.5,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,72.07,19.0326,79.0766,monsoon,949.71,1315.55,rice
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,46.61,31.6136,78.9677,monsoon,321.45,462.14,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,70.38,22.8168,77.2483,monsoon,920.62,1250.03,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,74.08,23.8838,85.7978,monsoon,1092.49,1280.53,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,100,8.7192,75.2138,monsoon,4420.14,5943,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,100,11.452,86.2215,monsoon,2032.63,2470.71,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,51.89,27.147,81.4869,monsoon,487.65,584.14,rice
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,79.31,19.4431,81.7886,monsoon,1177.21,1512.56,rice
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,48.44,31.0442,83.9277,monsoon,387.78,490.3,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,41.66,25.5036,75.4252,monsoon,205.73,284.79,rice
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,100,14.8896,81.2239,monsoon,1900.42,2495.75,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,51.67,26.0994,74.1323,monsoon,458.62,618.95,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,59.17,31.1328,87.312,monsoon,619.18,916.94,rice
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,74.67,16.1221,72.7352,monsoon,1056.99,1364.98,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,54.32,26.0301,73.1645,monsoon,537.87,678.54,rice
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,100,9.231,68.6374,monsoon,2197.08,2584.32,rice
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,100,13.5652,77.8632,monsoon,2898.17,3762.25,rice
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,72.39,23.0132,83.3561,monsoon,994.18,1280.32,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,50.27,27.3022,86.3026,monsoon,435.25,540.48,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,50.64,28.8311,76.5496,monsoon,415.75,609.52,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,100,8.8953,75.9508,monsoon,3535.59,4749.15,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,68.86,21.1416,85.6239,monsoon,937.91,1127.17,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,51.66,31.0776,79.9776,monsoon,484.74,587.68,rice
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,70.08,21.9671,83.9663,monsoon,967.98,1156.21,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,86.47,19.5312,86.6963,monsoon,1264.68,1876.16,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,42.13,31.3525,74.8978,monsoon,227.6,285.63,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,75.42,16.4189,72.2846,monsoon,1085.68,1373.39,rice
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,59.28,21.0094,80.8539,monsoon,630.96,877.3,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,100,13.7735,83.6358,monsoon,3510.07,4689.79,rice
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,100,11.1229,86.721,monsoon,2815.7,3475.26,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,100,9.4292,83.3677,monsoon,3951.28,5564.75,rice
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,75.57,23.7588,76.9774,monsoon,1012.11,1479.04,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,49.61,27.2053,87.3889,monsoon,405.87,559.26,rice
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,39.98,24.6888,82.3319,monsoon,174.55,204.94,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,100,13.1266,86.0915,monsoon,2011.66,2500.64,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,100,12.1225,75.9233,monsoon,3292.86,4888.63,rice
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,42.07,25.3238,77.5776,monsoon,240.54,282.91,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,100,8.4472,72.102,monsoon,3044.73,4204.79,rice
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,53.47,27.6992,72.3028,monsoon,521.97,650.27,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,100,8.1947,85.1376,monsoon,3587.33,5216.93,rice
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,87.44,20.5392,68.9176,monsoon,1426.94,1712.57,rice
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,43.35,29.1584,87.6836,monsoon,248.35,336.49,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,100,13.3411,74.8664,monsoon,2540.45,3002.33,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,100,8.882,74.0022,monsoon,3699.53,5525.78,rice
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,60.87,16.2969,79.0392,rabi,911.98,750.83,maize
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,54.73,26.9312,68.6101,monsoon,554.74,764.85,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,52.78,27.7403,85.8114,rabi,639.83,521.56,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,100,12.8361,86.561,monsoon,2225.01,3237.75,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,43.39,30.7107,85.5366,monsoon,302.86,404.46,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,86.13,23.2888,85.0705,monsoon,1383.46,1845.24,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,90.26,19.8134,72.4398,monsoon,1404.1,2035.27,maize
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,45.55,24.5559,81.0663,rabi,447.16,329.22,maize
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,37.75,24.7923,80.7235,rabi,203.19,162.11,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,84.26,15.0907,79.4904,monsoon,1297.05,1776.02,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,44.17,31.4268,77.8758,rabi,368.96,296.45,maize
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,41.72,30.5285,84.7479,rabi,304.77,252.61,maize
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,39.51,25.8235,73.6359,rabi,277.98,204.23,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,39.5,24.9194,85.3149,winter,274.28,162.22,maize
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,63.24,17.5015,75.2161,rabi,990.55,827.43,maize
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,100,12.6506,80.4336,winter,3076.74,1899.75,maize
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,69.64,21.043,78.9616,monsoon,939.3,1254.19,maize
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,100,9.1857,81.8234,rabi,2868.1,2374.06,maize
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,57.51,17.1117,82.2965,rabi,838.79,648.43,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,87.81,15.6025,72.5445,monsoon,1346.76,1972.09,maize
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,41.86,31.5018,87.5046,rabi,309.24,219.7,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,100,8.3373,86.6244,zaid,4140.08,3862.47,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,40.09,25.5175,85.2384,kharif,225.11,261.35,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,43.76,31.6907,75.2428,monsoon,333.91,414.11,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,55.57,22.5574,78.1374,rabi,780.94,548.75,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,100,10.5172,70.4957,rabi,2386.16,1935.25,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,100,14.1464,86.1859,monsoon,2524.7,3039.49,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,100,8.0171,80.4461,monsoon,3068.09,3676.16,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,39.55,26.8029,75.6998,rabi,250.9,214.86,maize
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,51.9,29.8227,74.092,monsoon,533.23,659.15,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,79.39,23.7197,72.3285,rabi,1517.58,1181.62,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,40.99,30.6786,75.5029,rabi,346.14,234.19,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,40.05,25.2341,85.6981,rabi,259.95,203.27,maize
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,100,11.6383,85.0381,rabi,3434.68,2869.8,maize
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,68.44,16.5667,79.9241,rabi,1207.66,848.24,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,82.23,22.8956,87.7665,monsoon,1211.8,1705.57,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,55.63,21.7012,75.6983,kharif,626.75,790.59,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,100,8.1132,71.4388,monsoon,3626.09,4675.92,maize
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,47.37,26.1415,72.8534,rabi,481.88,350.06,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,85.11,21.5877,76.7973,monsoon,1345.24,1716.54,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,100,11.0928,83.2992,rabi,3210.19,2611.75,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,100,14.7127,73.74,rabi,2485.02,2108.27,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,62.72,16.9777,81.4461,rabi,1022.95,748.7,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,45.93,31.7555,70.1914,monsoon,397.52,484.13,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,100,9.0087,71.146,monsoon,3770.41,4645.53,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,100,11.3126,68.8485,rabi,2575.79,2058.71,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,68.69,19.8546,78.3481,rabi,1204.8,847.94,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,100,12.384,77.2821,monsoon,2659.26,3414.56,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,86.36,9.0341,77.2499,rabi,1764.04,1325.86,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,47.5,28.5328,77.6393,rabi,522.14,367.2,maize
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,78.47,21.435,71.9084,rabi,1455.45,1188.22,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,70.8,15.3045,68.9476,rabi,1330.29,901.07,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,63.26,15.3315,73.1439,rabi,1017.3,768.48,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,60.33,21.3783,70.0895,summer,1037.56,543.67,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,48.2,28.9521,85.3746,monsoon,422.97,571.22,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,53.87,26.0255,80.3021,monsoon,580.13,742.67,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,48.92,24.1443,70.0461,monsoon,419.05,623.42,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,41.55,26.8196,78.5708,monsoon,281.18,351.79,maize
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,100,11.1197,80.265,kharif,3412.71,3896.15,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,100,13.9333,82.5778,rabi,2295.99,1622.26,maize
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,46.14,30.6016,68.0376,rabi,499.14,348.83,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,59.97,17.5811,81.5665,winter,942.28,615.02,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,67.39,15.5873,86.3442,rabi,1123.15,919.93,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,62.53,17.0386,70.3155,rabi,927.97,778.72,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,39.6,28.8612,87.8851,rabi,240.91,187.98,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,100,9.2219,74.1314,monsoon,2848,3811.29,maize
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,100,9.4187,70.3077,kharif,3220.58,4074.03,maize
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,78.41,19.8451,70.4334,rabi,1447.87,1139.79,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,49.04,30.2413,87.8404,rabi,562.32,455.78,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,100,13.242,81.8162,rabi,4139.17,3480.39,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,95.21,14.1225,81.6989,kharif,1815.45,1804.74,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,40.71,28.3477,75.7279,rabi,305.28,237.35,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,100,9.4986,71.1355,rabi,3566.37,2413.11,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,64.43,17.0906,68.8106,rabi,1004.53,798.45,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,67.6,15.3117,80.9775,rabi,1204.03,863.92,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,95.52,12.4242,69.9717,rabi,2096.54,1467.61,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,67.12,17.7766,69.3347,rabi,1161.83,820.08,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,100,10.1483,69.5649,monsoon,2006.17,2412.22,maize
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,49.25,27.0105,82.8224,rabi,540.48,413.76,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,45.77,29.9496,84.876,rabi,441.78,318.59,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,100,9.1426,74.4792,monsoon,3760.25,4747.73,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,100,9.3101,72.3779,monsoon,2660.74,3151.01,maize
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,42.08,26.4765,75.7415,kharif,294.24,336.14,maize
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,59.3,19.588,72.5504,rabi,922.06,684.15,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,100,13.1498,85.1809,monsoon,2176.68,2981.55,maize
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,41.43,30.445,76.4398,rabi,323.44,224.63,maize
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,86.9,22.8779,78.592,monsoon,1410.14,1762.94,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,98.96,13.8561,79.7433,rabi,2132.77,1665.1,maize
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,53.74,17.8465,80.0025,rabi,723.46,499.06,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,100,13.5889,77.1646,zaid,2853.09,2734.19,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,100,11.4872,73.438,monsoon,1844.08,2403.09,maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,52.29,27.8427,78.4212,zaid,619.25,509.72,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,63.7,15.5562,70.3637,rabi,995.38,772.77,maize
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,100,14.8209,81.0274,winter,2336.84,1530.53,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,39.44,28.8315,79.3774,rabi,270.53,206.32,maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,49.45,26.4072,83.1494,winter,608.5,333.65,maize
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,50.68,24.6383,79.438,monsoon,489.56,637.65,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,100,8.2822,72.0527,kharif,2169.89,2469.92,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,59.88,15.6367,70.1823,rabi,889.59,741.76,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,49.29,26.0579,80.0619,rabi,553.45,409.51,maize
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,38.74,28.0276,82.1017,kharif,320.23,375.82,chickpea
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,100,13.618,84.34,kharif,3165.32,3729.83,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,65.43,17.0062,75.1089,monsoon,1016.48,1237.36,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,69.2,17.1944,87.7622,kharif,1151.64,1306.76,chickpea
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,57.58,19.599,72.6148,zaid,911.94,825.33,chickpea
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,45.63,30.1682,79.5291,rabi,581.49,497.65,chickpea
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,46.83,18.38,84.9975,rabi,662.75,461.2,chickpea
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,59.98,15.0191,68.408,summer,1164.01,654.8,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,62.09,17.125,77.8125,kharif,989.79,1026.89,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,37.19,29.4829,76.4029,monsoon,257.32,347.84,chickpea
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,46.83,20.2677,74.8929,rabi,623.26,495.16,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,100,13.8197,81.0066,kharif,2983.28,3694.74,chickpea
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,53.57,19.8441,78.3716,zaid,853.31,669.13,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,36.6,25.6086,81.0187,rabi,293.64,251.79,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,56.65,17.8966,84.436,kharif,791.38,956.82,chickpea
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,100,9.9215,72.7794,rabi,2528.44,2011.08,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,52.98,18.5987,68.6185,rabi,809.96,652.68,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,100,13.4022,86.5974,rabi,3976.12,3176.24,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,81.1,22.1721,85.2222,kharif,1427.29,1732.15,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,100,9.3812,77.3108,rabi,3463.89,2577.89,chickpea
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,60.46,23.7757,75.4643,rabi,1067.35,833.54,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,100,8.5296,75.0757,rabi,3413.58,2369.7,chickpea
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,59.4,20.7301,72.0104,winter,1099.74,727.31,chickpea
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,66.74,21.9471,82.2772,monsoon,1039.57,1273.61,chickpea
59,62,83,18.57665902,19.22008229,8.104396058,72.94940441,100,13.8727,76.9581,rabi,2877.29,2027.75,chickpea
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,88.56,12.721,78.1083,winter,2080.83,1366.74,chickpea
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,51.31,23.9112,84.8341,zaid,722.2,679.98,chickpea
59,60,84,19.03025305,18.66725565,7.690962338,94.70992037,61.01,15.8507,83.3005,rabi,1072.66,845.87,chickpea
54,77,85,17.1418614,17.0662427,7.829211144,83.74606679,61.96,22.0172,86.9441,kharif,985.36,1036.18,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,41.37,25.8597,84.1588,zaid,443.45,380.36,chickpea
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,92.82,14.0684,80.8845,rabi,2151.1,1558.17,chickpea
